Reporter,Partner,Product categories,Indicator Type,Indicator,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,              6.86,              7.01,      6.90,      7.02,      7.08,      7.20,      7.64,      7.79,      8.35,      7.88,      7.98,      8.32,      8.50,      8.65,      8.82,      8.68,      8.89,      9.07,      9.17,      8.27,      7.98,      8.32,      8.78,      8.89,     10.21,     11.24,     12.51,     12.45,     12.19,     11.78
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,              5.39,              5.54,      5.60,      5.70,      5.59,      5.55,      5.66,      5.92,      6.31,      6.14,      6.46,      6.70,      6.94,      7.47,      7.81,      7.81,      7.81,      7.77,      8.41,      8.09,      7.93,      7.97,      8.31,      8.38,      9.53,     10.30,     11.62,     10.97,     10.72,     11.18
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,             12.03,             12.27,     12.07,     12.09,     11.70,     11.76,     11.94,     12.07,     12.32,     12.06,     12.08,     12.40,     12.39,     12.72,     12.93,     12.79,     13.32,     13.27,     13.48,     13.37,     13.10,     13.50,     14.41,     14.10,     11.45,     11.07,      6.84,,,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,             13.39,             13.63,     13.43,     13.17,     12.94,     12.77,     13.34,     13.56,     13.89,     14.01,     14.64,     14.29,     14.64,     15.10,     15.10,     14.79,     14.23,     13.76,     14.60,     14.52,     14.11,     14.49,     15.32,     14.82,     11.98,     11.93,      8.46,      9.69,      9.79,      7.80
,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,      5.76,      6.04,      5.87,      6.02,      6.02,      6.14,      6.23,      6.08,      6.01,      6.01,      5.94,      5.91,      5.81,      5.69,      6.02,      5.98,      6.14,      7.97,      8.65,      8.79,      8.73,      8.59
,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,      5.29,,,      5.57,      5.74,      5.69,,,      6.07,      6.51,      6.47,      6.75,      6.75,      6.68,      6.72,      7.89,      9.00,      9.19,      8.79,      9.20
,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,              4.88,              4.86,      5.01,      5.39,      5.42,      5.67,      5.48,      5.53,,,,,,,,,,,,,,,,,,,      6.87,      6.81,      6.74,      7.51
,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,              5.58,              5.64,      5.70,      5.98,      6.06,      5.81,      5.79,      5.71,      5.75,      5.50,      5.61,      5.63,      5.73,      5.74,      5.69,,      5.66,      5.99,,,,,,,,,      7.43,      7.41,      7.29,      8.56
,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,      5.49,      5.24,,,,,,,,,,,,,,,,,,,,,,,
,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,              5.86,              6.48,      6.19,      5.98,      5.79,      6.07,      5.72,      5.96,      6.19,      6.43,      6.77,      6.81,      7.10,      7.49,      7.64,      8.02,      8.00,      7.86,      7.81,      7.48,      7.53,      7.26,      7.45,      7.61,      7.77,      8.66,      7.79,      8.65,      9.31,      9.48
,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,      5.93,      6.23,      6.44,      6.51,      6.43,      6.50,      6.46,      6.44,      6.34,      6.28,      7.92,,,,      6.73
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,              7.05,              7.39,      7.33,      6.37,      5.96,      6.16,      5.89,      6.10,      6.10,      5.98,      6.47,      7.17,      7.50,      7.70,      8.18,      8.80,      8.75,      8.88,      8.32,      8.04,      7.38,      6.82,      6.66,      7.36,      7.44,,,      6.91,      7.22,      7.93
,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,              5.66,              5.98,      6.02,      5.38,      5.27,,,      5.16,      5.50,      5.06,,      5.34,      5.40,      5.68,      6.12,      6.97,      7.78,      8.07,      7.65,      7.99,      7.91,      7.19,      7.18,      7.44,      8.03,      6.89,      6.78,      6.72,      7.34,
,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Tariff Lines Share (%),             60.40,             58.01,     58.88,     52.96,     53.95,     54.31,     56.98,     56.28,     54.05,     49.49,     47.26,     57.07,     44.43,     52.20,     54.81,     34.91,     35.32,     48.01,     43.36,     46.43,     29.27,     32.21,     29.24,     12.04,     30.94,     10.86,      7.93,     25.94,     20.57,     60.11
,World,Animal,Export,Export Product share(%),              2.54,              2.52,      2.38,      2.46,      2.39,      2.28,      2.30,      2.29,      2.39,      2.01,      2.00,      1.98,      2.10,      2.12,      2.17,      2.14,      2.21,      2.19,      2.47,      2.49,      2.59,      2.76,      2.98,      3.19,      3.60,      3.91,      2.86,      2.62,      2.77,      2.07
,World,Capital goods,Export,Export Product share(%),             28.28,             28.70,     27.87,     26.77,     25.92,     25.96,     26.62,     26.88,     27.07,     27.49,     28.78,     29.71,     29.73,     30.17,     30.37,     31.17,     32.03,     32.18,     33.04,     33.93,     32.20,     31.54,     32.03,     31.56,     30.98,     30.71,     32.92,     32.53,     31.95,     33.86
,World,Chemicals,Export,Export Product share(%),             13.03,             13.14,     13.13,     12.41,     12.13,     12.19,     12.19,     12.75,     13.32,     11.37,     11.46,     11.52,     11.87,     11.85,     12.09,     11.98,     10.93,     10.16,     10.78,     10.24,      9.93,      9.73,      9.88,     10.07,     10.32,      9.88,      9.73,      9.57,      9.83,     10.85
